title,rankings,url,ratings,price
The Blue Umbrella,#33,https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 76.00
Bhagavad Gita: Yatharoop (Hindi),#34,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X?_encoding=UTF8&psc=1,4.8 out of 5 stars,₹ 175.00
General Knowledge 2021,#35,https://www.amazon.in/General-Knowledge-2021-Manohar-Pandey/dp/9324195417?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 150.00
The Monk Who Sold His Ferrari,#36,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 174.00
Picture Books Collection for Early Learning (Set of 12),#37,https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1&smid=A3AYVXJSQ9BMLM,4.2 out of 5 stars,₹ 235.00
Eating in the Age of Dieting,#38,https://www.amazon.in/Eating-Age-Dieting-Rujuta-Diwekar/dp/9389648564?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 264.00
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),#39,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 218.00
Indian Art and Culture for Civil Services and other Competitive Examinations,#40,https://www.amazon.in/Indian-Culture-Services-Competitive-Examinations/dp/9353168198?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 521.00
"Oswaal CBSE SAMPLE QUESTION PAPERS CLASS 10 (Set of 4 Books) Mathematics (Standard), Science, Social Science, English (Reduced Syllabus for 2021)",#41,https://www.amazon.in/QUESTION-Mathematics-Standard-Science-Syllabus/dp/9354230709?_encoding=UTF8&psc=1,3.9 out of 5 stars,₹ 695.00
The Richest Man in Babylon,#42,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 110.00
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),#43,https://www.amazon.in/Oswaal-Question-Science-Reduced-Syllabus/dp/9390222478?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 375.00
General Knowledge 2021,#44,https://www.amazon.in/General-Knowledge-2021-Manohar-Pandey/dp/9324195395?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 27.10
As a Man Thinketh,#45,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9380816472?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 59.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,#46,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-NEET-AIIMS/dp/9389971241?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 678.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,#47,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 218.00
Maybe You Should Talk To Someone,#48,https://www.amazon.in/Maybe-You-Should-Talk-Someone/dp/9389143519?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 431.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",#49,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 197.00
NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson,#50,https://www.amazon.in/NTA-UGC-NET-SET-JRF/dp/9353944651?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 359.00
Certificate Physical And Human Geography; Indian Edition,#51,https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 233.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),#52,https://www.amazon.in/Amazon-Brand-Solimo-Board-Books/dp/B07BF3T95C?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 428.00
Inner Engineering: A Yogi’s Guide to Joy,#53,https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 217.00
Harry Potter and the Philosopher's Stone,#54,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 310.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",#55,https://www.amazon.in/Economy-Services-Universities-Examinations-Revised/dp/B08BJ4KL27?_encoding=UTF8&psc=1,3.9 out of 5 stars,₹ 493.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),#56,https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 319.00
Masala Lab: The Science of Indian Cooking,#57,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 336.00
The Presidential Years: 2012-2017,#58,https://www.amazon.in/Presidential-Years-2012-2017-Pranab-Mukherjee/dp/9390356350?_encoding=UTF8&psc=1,4.0 out of 5 stars,₹ 504.00
Kiran SSC Mathematics Chapterwise And Typewise Solved Papers 10500+ Objective Questions (English Medium) (3035),#59,https://www.amazon.in/Mathematics-Chapterwise-Typewise-Objective-Questions/dp/9389833892?_encoding=UTF8&psc=1,4.2 out of 5 stars,₹ 510.00
101 Panchatantra Stories,#60,https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 116.00
A Touch of Eternity,#61,https://www.amazon.in/Touch-Eternity-Datta-Durjoy/dp/014344834X?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 159.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),#62,https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 99.00
Oswaal CBSE Question Bank Class 10 Mathematics (Standard) (Reduced Syllabus) (For 2021 Exam),#63,https://www.amazon.in/Question-Mathematics-Standard-Reduced-Syllabus/dp/9390222451?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 335.00
"Lexicon for Ethics, Integrity & Aptitude for IAS General Studies - 6th Paper Edition 2020",#64,https://www.amazon.in/Lexicon-Integrity-Aptitude-General-Studies/dp/8194204828?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 215.00
Oswaal CBSE Question Bank Class 10 Social Science (Reduced Syllabus) (For 2021 Exam),#65,https://www.amazon.in/Oswaal-Question-Science-Reduced-Syllabus/dp/9390222486?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 331.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,#66,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 125.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,#67,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 349.00
Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,#68,https://www.amazon.in/Activity-Books-Collection-Learning-InIkao/dp/8193752333?_encoding=UTF8&psc=1&smid=A3AYVXJSQ9BMLM,4.3 out of 5 stars,₹ 125.00
Environment By Shankar (7th) Revised Edition (2019-2020 Session),#69,https://www.amazon.in/Environment-SHANKAR-6th-Revised-2018/dp/B07KF7H5JS?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 382.00
Refreshing Mandala - Colouring Book for Adults Book 1,#70,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 175.00
How to Crack Test Of Reasoning- REVISED EDITION,#71,https://www.amazon.in/How-Crack-Test-Reasoning-Jaikishan/dp/9313166755?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 116.00
The Girl in Room 105,#72,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 158.00
Lines and Curves (Pattern Writing) - Part 1,#73,https://www.amazon.in/Lines-Curves-Pattern-Writing-Part/dp/1730152287?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 72.00
Colour with Crayons Part - 1,#74,https://www.amazon.in/Colour-Crayons-Part-Dreamland-Publications/dp/1730175066?_encoding=UTF8&psc=1,4.2 out of 5 stars,₹ 56.00
The Last Queen,#75,https://www.amazon.in/Last-Queen-Chitra-Banerjee-Divakaruni/dp/9390351952?_encoding=UTF8&psc=1,4.8 out of 5 stars,₹ 458.00
Fast Track Objective Arithmetic,#76,https://www.amazon.in/Track-Objective-Arithmetic-Rajesh-Verma/dp/9312149830?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 380.00
"What I Love About You and Our Memories: A Fill-in-the-Blank Gift Book for Valentines Day, Anniversary, Birthday Gifts for Boyfriend, Girlfriend, Husband and Wife (english)",#77,https://www.amazon.in/What-About-Memories-Fill-Blank/dp/9353919649?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 259.00
Wings of Fire: An Autobiography of Abdul Kalam,#78,https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1,4.6 out of 5 stars,₹ 337.00
RS Agarwal - Quantitative Aptitude + Logical Reasoning,#79,https://www.amazon.in/RS-Agarwal-Quantitative-Aptitude-Reasoning/dp/B07VF9L646?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 650.00
My First Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),#80,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 799.00
ReWork: Change the Way You Work Forever,#81,https://www.amazon.in/ReWork-Change-Way-Work-Forever/dp/0091929784?_encoding=UTF8&psc=1,4.3 out of 5 stars,₹ 169.00
The Power of your Subconscious Mind,#82,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 149.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,#83,https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 254.00
"Don't Lose Your Mind, Lose Your Weight",#84,https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1,4.4 out of 5 stars,₹ 186.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,#85,https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 105.00
Who Will Cry When You Die?,#86,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,4.5 out of 5 stars,₹ 140.00
"Colouring Books Collections for Early Learning by InIkao(english) : Pack of 8 Copy Coloring Books on alphabets, numbers, colors, shapes, toys and rhymes",#87,https://www.amazon.in/Color-Colouring-Books-Learning-InIkao/dp/8193840607?_encoding=UTF8&psc=1&smid=A3AYVXJSQ9BMLM,4.5 out of 5 stars,₹ 175.00
The Magic of the Lost Temple,#88,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X?_encoding=UTF8&psc=1,4.7 out of 5 stars,₹ 158.00
Kiran SSC CGL Question Bank Solved Paper 1999-2020(English Medium)(3096),#89,https://www.amazon.in/Question-Solved-1999-2020-English-Medium/dp/9390285313?_encoding=UTF8&psc=1,4.1 out of 5 stars,₹ 471.00
